precision,recall
0.017,1.0
0.01700425106276569,1.0
0.017008504252126064,1.0
0.01701275956967726,1.0
0.01701701701701702,1.0
0.01702127659574468,1.0
0.01702553830746119,1.0
0.017029802153769095,1.0
0.017034068136272545,1.0
0.0170383362565773,1.0
0.017042606516290727,1.0
0.01704687891702181,1.0
0.017051153460381142,1.0
0.017055430147980936,1.0
0.017059708981435023,1.0
0.017063989962358847,1.0
0.01706827309236948,1.0
0.017072558373085613,1.0
0.017076845806127575,1.0
0.017081135393117307,1.0
0.017085427135678392,1.0
0.017089721035436038,1.0
0.017094017094017096,1.0
0.017098315313050037,1.0
0.01710261569416499,1.0
0.01710691823899371,1.0
0.017111222949169603,1.0
0.017115529826327712,1.0
0.017119838872104734,1.0
0.017124150088139008,1.0
0.01712846347607053,1.0
0.017132779037540943,1.0
0.017137096774193547,1.0
0.017141416687673303,1.0
0.01714573877962683,1.0
0.017150063051702396,1.0
0.017154389505549948,1.0
0.017158718142821095,1.0
0.017163048965169108,1.0
0.017167381974248927,1.0
0.01717171717171717,1.0
0.01717605455923213,1.0
0.017180394138453764,1.0
0.01718473591104372,1.0
0.017189079878665317,1.0
0.017193426042983566,1.0
0.01719777440566515,1.0
0.017202124968378446,1.0
0.01720647773279352,1.0
0.017210832700582133,1.0
0.017215189873417722,1.0
0.017219549252975436,1.0
0.017223910840932118,1.0
0.017228274638966305,1.0
0.017232640648758235,1.0
0.01723700887198986,1.0
0.017241379310344827,1.0
0.017245751965508496,1.0
0.017250126839167934,1.0
0.017254503933011926,1.0
0.017258883248730966,1.0
0.017263264788017263,1.0
0.017267648552564754,1.0
0.017272034544069087,1.0
0.017276422764227643,1.0
0.017280813214739517,1.0
0.01728520589730554,1.0
0.017289600813628275,1.0
0.017293997965412006,1.0
0.017298397354362758,1.0
0.017302798982188294,1.0
0.017307202850598117,1.0
0.017311608961303463,1.0
0.017316017316017316,1.0
0.017320427916454408,1.0
0.01732484076433121,1.0
0.017329255861365953,1.0
0.017333673209278613,1.0
0.017338092809790925,1.0
0.01734251466462637,1.0
0.017346938775510204,1.0
0.01735136514416943,1.0
0.017355793772332824,1.0
0.017360224661730917,1.0
0.017364657814096015,1.0
0.017369093231162196,1.0
0.017373530914665303,1.0
0.01737797086634296,1.0
0.017382413087934562,1.0
0.017386857581181282,1.0
0.017391304347826087,1.0
0.017395753389613713,1.0
0.017400204708290685,1.0
0.017404658305605322,1.0
0.017409114183307733,1.0
0.01741357234314981,1.0
0.017418032786885244,1.0
0.017422495516269537,1.0
0.01742696053305997,1.0
0.017431427839015638,1.0
0.017435897435897435,1.0
0.01744036932546807,1.0
0.017444843509492047,1.0
0.017449319989735694,1.0
0.017453798767967144,1.0
0.017458279845956354,1.0
0.01746276322547509,1.0
0.017467248908296942,1.0
0.017471736896197326,1.0
0.017476227190953483,1.0
0.017480719794344474,1.0
0.017485214708151196,1.0
0.01748971193415638,1.0
0.017494211474144584,1.0
